uniprot	swissprot	drug_name	act_value	act_type	action_type	source_name	reference	smiles	ChEMBL_Id
P05981	HEPS_HUMAN	nafamostat	9.279999732971191	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL273264	NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC=C2C=C(C=CC2=C1)C(N)=N	CHEMBL273264
Q04756	HGFA_HUMAN	nafamostat	7.599999904632568	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL273264	NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC=C2C=C(C=CC2=C1)C(N)=N	CHEMBL273264
Q9BV23	ABHD6_HUMAN	orlistat	7.320000171661377	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL175247	CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O	CHEMBL175247
P15328	FOLR1_HUMAN	pemetrexed	7.380000114440918	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL225072	NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1	CHEMBL225072
P15328	FOLR1_HUMAN	raltitrexed	7.820000171661377	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL225071	CN(CC1=CC2=C(C=C1)N=C(C)NC2=O)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL225071
P24158	PRTN3_HUMAN	sivelestat	6.46999979019165	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL76688	CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC1=C(C=CC=C1)C(=O)NCC(O)=O	CHEMBL76688
Q07817	B2CL1_HUMAN	venetoclax	7.318758964538574	Ki	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/23291630	CC1(C)CCC(CN2CCN(CC2)C2=CC(OC3=CC4=C(NC=C4)N=C3)=C(C=C2)C(=O)NS(=O)(=O)C2=CC(=C(NCC3CCOCC3)C=C2)[N+]([O-])=O)=C(C1)C1=CC=C(Cl)C=C1	CHEMBL3137309
Q92843	B2CL2_HUMAN	venetoclax	6.610834121704102	Ki	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/23291630	CC1(C)CCC(CN2CCN(CC2)C2=CC(OC3=CC4=C(NC=C4)N=C3)=C(C=C2)C(=O)NS(=O)(=O)C2=CC(=C(NCC3CCOCC3)C=C2)[N+]([O-])=O)=C(C1)C1=CC=C(Cl)C=C1	CHEMBL3137309
P21917	DRD4_HUMAN	aripiprazole lauroxil	7.3565473556518555	Ki		DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/207533s000lbl.pdf	CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=CC=C(OCCCCN3CCN(CC3)C3=C(Cl)C(Cl)=CC=C3)C=C12	CHEMBL2219425
P21917	DRD4_HUMAN	flibanserin	8.397939682006836	Ki	ANTAGONIST	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/12177684	FC(F)(F)C1=CC=CC(=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1	CHEMBL231068
Q6V1X1	DPP8_HUMAN	teneligliptin	6.585026741027832	IC50		SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/22959556	[H][C@]1(CN[C@@]([H])(C1)C(=O)N1CCSC1)N1CCN(CC1)C1=CC(C)=NN1C1=CC=CC=C1	CHEMBL2147777
Q86TI2	DPP9_HUMAN	teneligliptin	6.267606258392334	IC50		SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/22959556	[H][C@]1(CN[C@@]([H])(C1)C(=O)N1CCSC1)N1CCN(CC1)C1=CC(C)=NN1C1=CC=CC=C1	CHEMBL2147777
Q6V1X1	DPP8_HUMAN	anagliptin	7.1674909591674805	IC50		SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/22019046	CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N	CHEMBL1929387
Q86TI2	DPP9_HUMAN	anagliptin	7.221848964691162	IC50		SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/22019046	CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N	CHEMBL1929387
Q9BXA7	TSSK1_HUMAN	ceritinib	7.638272285461426	IC50		SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/23742252	CC(C)OC1=C(NC2=NC=C(Cl)C(NC3=C(C=CC=C3)S(=O)(=O)C(C)C)=N2)C=C(C)C(=C1)C1CCNCC1	CHEMBL2403108
Q9H3N8	HRH4_HUMAN	histamine	8.1	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL90	NCCC1=CN=CN1	CHEMBL90
Q16853	AOC3_HUMAN	phenelzine	7.7	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1089	NNCCC1=CC=CC=C1	CHEMBL1089
P36544	ACHA7_HUMAN	acetylcholine	5.1	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL667	CC(=O)OCC[N+](C)(C)C	CHEMBL667
P51800	CLCKA_HUMAN	niflumic acid	5.0	EC50	ACTIVATOR	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2439	OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)N=CC=C1	CHEMBL63323
P21918	DRD5_HUMAN	apomorphine	7.8	Ki	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=33	[H][C@]12CC3=CC=C(O)C(O)=C3C3=CC=CC(CCN1C)=C23	CHEMBL53
P47898	5HT5A_HUMAN	methysergide	7.0	Ki	ANTAGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=134	[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO	CHEMBL1065
O00222	GRM8_HUMAN	dexfosfoserine	7.2	IC50	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=1411	N[C@@H](COP(O)(O)=O)C(O)=O	CHEMBL284377
P50406	5HT6R_HUMAN	zotepine	8.3	Ki	ANTAGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=103	CN(C)CCOC1=CC2=C(SC3=CC=C(Cl)C=C13)C=CC=C2	CHEMBL285802
P50406	5HT6R_HUMAN	thioridazine	7.2	Ki	ANTAGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=100	[H]C1(CCN2C3=CC=CC=C3SC3=CC=C(SC)C=C23)CCCCN1C	CHEMBL479
P21918	DRD5_HUMAN	flupentixol	8.1	Ki	ANTAGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=948	OCCN1CCN(CCC=C2C3=CC=CC=C3SC3=CC=C(C=C23)C(F)(F)F)CC1	CHEMBL42055
P21918	DRD5_HUMAN	cabergoline	7.7	Ki	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=37	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC	CHEMBL1201087
P28566	5HT1E_HUMAN	naratriptan	7.7	Ki	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=45	CNS(=O)(=O)CCC1=CC=C2NC=C(C3CCN(C)CC3)C2=C1	CHEMBL1278
Q14832	GRM3_HUMAN	glutamic acid	7.4	Ki	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=1369	N[C@@H](CCC(O)=O)C(O)=O	CHEMBL76232
P21917	DRD4_HUMAN	cabergoline	7.3	Ki	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=37	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC	CHEMBL1201087
P50406	5HT6R_HUMAN	amoxapine	7.3	Ki	ANTAGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=201	ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1	CHEMBL1113
Q14994	NR1I3_HUMAN	meclozine	7.16	IC50	ANTAGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2757	CC1=CC=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=C1	CHEMBL1623
O15554	KCNN4_HUMAN	nitrendipine	7.6	IC50	BLOCKER	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2334	CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC	CHEMBL475534
O60840	CAC1F_HUMAN	nifedipine	6.0	IC50	GATING INHIBITOR	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2514	COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OC	CHEMBL193
O15554	KCNN4_HUMAN	riluzole	5.7	IC50	ACTIVATOR	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2326	NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2	CHEMBL744
Q8TD43	TRPM4_HUMAN	adenosine triphosphate	5.8	IC50	BLOCKER	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=1713	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	CHEMBL14249
P50406	5HT6R_HUMAN	ergotamine	8.6	Ki	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=149	[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O	CHEMBL442
P28566	5HT1E_HUMAN	methylergometrine	7.2	Ki	ANTAGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=150	[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO	CHEMBL1200843
P50406	5HT6R_HUMAN	metergoline	7.4	Ki	ANTAGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=133	[H][C@]1(CNC(=O)OCC2=CC=CC=C2)CN(C)[C@]2([H])CC3=CN(C)C4=C3C(=CC=C4)[C@@]2([H])C1	CHEMBL19215
P21917	DRD4_HUMAN	terguride	8.1	Ki	ANTAGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=56	[H][C@@]12CC3=CNC4=C3C(=CC=C4)[C@@]1([H])C[C@@H](CN2C)NC(=O)N(CC)CC	CHEMBL73151
P50406	5HT6R_HUMAN	bromocriptine	7.5	Ki	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=35	[H][C@@]12CCCN1C(=O)[C@]([H])(CC(C)C)N1C(=O)[C@](NC(=O)[C@@]3([H])CN(C)[C@]4([H])CC5=C(Br)NC6=C5C(=CC=C6)C4=C3)(O[C@@]21O)C(C)C	CHEMBL493
P28566	5HT1E_HUMAN	eletriptan	7.2	Ki	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=40	CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2	CHEMBL1510
P14902	I23O1_HUMAN	menadione	6.0	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL590	CC1=CC(=O)C2=CC=CC=C2C1=O	CHEMBL590
P37058	DHB3_HUMAN	hymecromone	6.0	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL12208	CC1=CC(=O)OC2=C1C=CC(O)=C2	CHEMBL12208
P0DMS8	AA3R_HUMAN	theophylline	7.85	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL190	CN1C2=C(N=CN2)C(=O)N(C)C1=O	CHEMBL190
P50579	MAP2_HUMAN	nitroxoline	7.26	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1454910	OC1=C2N=CC=CC2=C(C=C1)[N+]([O-])=O	CHEMBL1454910
P14410	SUIS_HUMAN	miglitol	6.3	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1561	OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO	CHEMBL1561
P36544	ACHA7_HUMAN	varenicline	6.9	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1396	[H][C@]12C[C@]([H])(CNC1)C1=C2C=C2N=CC=NC2=C1	CHEMBL1396
P21917	DRD4_HUMAN	pramipexole	9.31	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL301265	CCCN[C@H]1CCC2=C(C1)SC(N)=N2	CHEMBL301265
P0DMS8	AA3R_HUMAN	kainic acid	7.11	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL275040	CC(=C)[C@H]1CN[C@@H]([C@H]1CC(O)=O)C(O)=O	CHEMBL275040
P0DMS8	AA3R_HUMAN	baclofen	7.3	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL701	NCC(CC(O)=O)C1=CC=C(Cl)C=C1	CHEMBL701
P09960	LKHA4_HUMAN	captopril	7.15	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1560	C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O	CHEMBL1560
Q9HCG7	GBA2_HUMAN	miglustat	6.64	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1029	CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO	CHEMBL1029
P14410	SUIS_HUMAN	miglustat	6.3	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1029	CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO	CHEMBL1029
P19099	C11B2_HUMAN	fadrozole	9.1	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL9298	N#CC1=CC=C(C=C1)C1CCCC2=CN=CN12	CHEMBL9298
P19099	C11B2_HUMAN	metyrapone	7.38	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL934	CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1	CHEMBL934
P24557	THAS_HUMAN	ozagrel	7.96	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL11662	OC(=O)\C=C\C1=CC=C(CN2C=CN=C2)C=C1	CHEMBL11662
P78348	ASIC1_HUMAN	amiloride	5.0	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL945	NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1	CHEMBL945
Q9UHC3	ASIC3_HUMAN	amiloride	5.36	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL945	NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1	CHEMBL945
P42330	AK1C3_HUMAN	naproxen	6.32	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL154	COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C(O)=O	CHEMBL154
P16083	NQO2_HUMAN	melatonin	7.56	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL45	COC1=CC2=C(NC=C2CCNC(C)=O)C=C1	CHEMBL45
P34913	HYES_HUMAN	zileuton	6.23	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL93	CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2	CHEMBL93
Q99685	MGLL_HUMAN	thiram	6.01	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL120563	CN(C)C(=S)SSC(=S)N(C)C	CHEMBL120563
P42330	AK1C3_HUMAN	mefenamic acid	6.52	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL686	CC1=CC=CC(NC2=C(C=CC=C2)C(O)=O)=C1C	CHEMBL686
P52895	AK1C2_HUMAN	mefenamic acid	6.66	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL686	CC1=CC=CC(NC2=C(C=CC=C2)C(O)=O)=C1C	CHEMBL686
Q04828	AK1C1_HUMAN	mefenamic acid	6.09	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL686	CC1=CC=CC(NC2=C(C=CC=C2)C(O)=O)=C1C	CHEMBL686
P42785	PCP_HUMAN	phencyclidine	7.04	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL275528	C1CCN(CC1)C1(CCCCC1)C1=CC=CC=C1	CHEMBL275528
P19099	C11B2_HUMAN	etomidate	10.0	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL23731	CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1	CHEMBL23731
P51575	P2RX1_HUMAN	pyridoxal phosphate	5.0	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL82202	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O	CHEMBL82202
P10145	IL8_HUMAN	tolmetin	7.05	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1020	CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1	CHEMBL1020
P42330	AK1C3_HUMAN	tolfenamic acid	8.1	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL121626	CC1=C(NC2=C(C=CC=C2)C(O)=O)C=CC=C1Cl	CHEMBL121626
P0DMS8	AA3R_HUMAN	protriptyline	8.96	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL668	CNCCCC1C2=CC=CC=C2C=CC2=C1C=CC=C2	CHEMBL668
P0DMS8	AA3R_HUMAN	atenolol	8.75	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL24	CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	CHEMBL24
P21917	DRD4_HUMAN	apomorphine	8.05	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL53	[H][C@]12CC3=CC=C(O)C(O)=C3C3=CC=CC(CCN1C)=C23	CHEMBL53
P04278	SHBG_HUMAN	estrone	8.18	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1405	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	CHEMBL1405
P14061	DHB1_HUMAN	estrone	8.52	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1405	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	CHEMBL1405
P10636	TAU_HUMAN	tolonium	7.16	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1197206	CN(C)C1=CC2=[S+]C3=CC(N)=C(C)C=C3N=C2C=C1	CHEMBL1197206
P04278	SHBG_HUMAN	estradiol	8.83	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL135	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	CHEMBL135
O95718	ERR2_HUMAN	estradiol	8.49	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL135	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	CHEMBL135
P11474	ERR1_HUMAN	estradiol	8.44	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL135	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	CHEMBL135
P04278	SHBG_HUMAN	nandrolone	6.3	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL757	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]	CHEMBL757
P0DMS8	AA3R_HUMAN	imipramine	8.36	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL11	CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2	CHEMBL11
P05413	FABPH_HUMAN	linoleic acid	9.7	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL267476	CCCCC\C=C/C\C=C/CCCCCCCC(O)=O	CHEMBL267476
P15090	FABP4_HUMAN	linoleic acid	6.0	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL267476	CCCCC\C=C/C\C=C/CCCCCCCC(O)=O	CHEMBL267476
Q8TD43	TRPM4_HUMAN	flufenamic acid	5.55	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL23588	OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1	CHEMBL23588
Q01469	FABP5_HUMAN	oleic acid	6.61	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL8659	CCCCCCCC\C=C/CCCCCCCC(O)=O	CHEMBL8659
P07148	FABPL_HUMAN	oleic acid	6.7	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL8659	CCCCCCCC\C=C/CCCCCCCC(O)=O	CHEMBL8659
P15090	FABP4_HUMAN	oleic acid	6.73	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL8659	CCCCCCCC\C=C/CCCCCCCC(O)=O	CHEMBL8659
P36544	ACHA7_HUMAN	tropisetron	8.16	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL56564	CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C1=CNC2=C1C=CC=C2	CHEMBL56564
O95264	5HT3B_HUMAN	tropisetron	8.8	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL56564	CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C1=CNC2=C1C=CC=C2	CHEMBL56564
P0DMS8	AA3R_HUMAN	diazepam	7.92	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL12	CN1C2=CC=C(Cl)C=C2C(=NCC1=O)C1=CC=CC=C1	CHEMBL12
P0DMS8	AA3R_HUMAN	mepyramine	8.89	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL511	COC1=CC=C(CN(CCN(C)C)C2=CC=CC=N2)C=C1	CHEMBL511
P04278	SHBG_HUMAN	androstenedione	7.46	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL274826	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	CHEMBL274826
P37058	DHB3_HUMAN	androstenedione	6.31	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL274826	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	CHEMBL274826
